variant,ticker,signal_date,expiry,strike,leg,historical_quote_listing_status,source_path,deliverables_status
original,MRK,2026-06-12,2026-06-26,129.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/63d920a04a7643d7a716aa0928a8096aac488ccc62a694256bd4fa12c7879bfd.parquet,unverified
original,PG,2026-06-12,2026-06-26,160.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,PG,2026-06-12,2026-06-26,157.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,RDW,2026-06-12,2026-06-26,24.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,RDW,2026-06-12,2026-06-26,24.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,S,2026-06-12,2026-06-26,18.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,S,2026-06-12,2026-06-26,17.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,ULTA,2026-06-12,2026-06-26,522.5,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,ULTA,2026-06-12,2026-06-26,520.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,WDAY,2026-06-12,2026-06-26,160.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,WDAY,2026-06-12,2026-06-26,157.5,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/b24fa06f7eb87b02e6a6a64cbee195fda573d57d5da46a0446fe32d28540d865.parquet,unverified
original,ANF,2026-06-15,2026-06-26,110.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,ANF,2026-06-15,2026-06-26,107.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,LVS,2026-06-15,2026-06-26,55.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,LVS,2026-06-15,2026-06-26,54.0,near,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
original,MRVL,2026-06-15,2026-06-26,470.0,far,exact_tuple_present,/Users/dgrissen/Dev/delta_bomb/data/pandar_hypothesis_2026-09-07/theta/option_list_contracts/cf44e1d7402e5e4a0975368320ea8da0c61e631f2cdc063698c2648efb85d8d1.parquet,unverified
