ticker,signal_date,policy,timestamp,far_strike,near_strike,bid,ask,delta,stock,otm_pct,pass_basic
ANF,2026-06-15,clock,2026-06-16 10:01:00,105.0,104.0,0.0,0.75,0.0966,92.81,13.134360521495525,False
ANF,2026-06-15,hiro,2026-06-16 10:26:00-04:00,105.0,104.0,0.0,0.75,0.0951,92.47,13.550340651021964,False
LVS,2026-06-15,clock,2026-06-16 10:01:00,54.0,53.0,0.05,0.44,0.136,49.71,8.630054315027147,False
LVS,2026-06-15,hiro,2026-06-16 10:06:00-04:00,54.0,53.0,0.05,0.44,0.1351,49.63,8.805158170461414,False
MRVL,2026-06-15,clock,2026-06-16 10:01:00,425.0,420.0,2.24,2.64,0.0873,311.78000000000003,36.31406761177751,True
MRVL,2026-06-15,hiro,2026-06-16 14:16:00-04:00,425.0,420.0,1.25,1.49,0.054700000000000006,292.15000000000003,45.47321581379427,True
ORCL,2026-06-15,clock,2026-06-16 10:01:00,222.5,220.0,0.84,0.96,0.0998,193.89000000000001,14.755789365103912,True
QCOM,2026-06-15,clock,2026-06-16 10:01:00,280.0,275.0,2.15,3.25,0.14450000000000002,230.20000000000002,21.633362293657687,False
QCOM,2026-06-15,hiro,2026-06-16 11:11:00-04:00,280.0,275.0,1.92,2.39,0.1183,222.67000000000002,25.746620559572442,True
CRM,2026-06-16,clock,2026-06-17 10:01:00,180.0,177.5,0.4,0.47000000000000003,0.0791,160.87,11.891589482190579,True
DE,2026-06-16,clock,2026-06-17 10:01:00,620.0,617.5,0.0,4.8,0.1789,595.19,4.16841680807809,False
DG,2026-06-16,clock,2026-06-17 10:01:00,125.0,124.0,0.01,1.0,0.1129,112.39,11.219859418097688,False
DG,2026-06-16,hiro,2026-06-17 12:31:00-04:00,125.0,124.0,0.0,2.22,0.1715,111.33,12.27881074283661,False
ON,2026-06-16,clock,2026-06-17 10:01:00,145.0,144.0,0.18,1.05,0.0823,116.69,24.260862113291637,False
ON,2026-06-16,hiro,2026-06-17 10:01:00-04:00,145.0,144.0,0.18,1.05,0.0823,116.69,24.260862113291637,False
ROKU,2026-06-16,clock,2026-06-17 10:01:00,152.5,150.0,0.0,2.29,0.17550000000000002,139.54,9.287659452486752,False
SE,2026-06-16,clock,2026-06-17 10:01:00,98.0,97.0,0.02,1.41,0.1792,90.31,8.515114605248586,False
SE,2026-06-16,hiro,2026-06-17 11:51:00-04:00,98.0,97.0,0.98,1.1400000000000001,0.24810000000000001,92.37,6.095052506224952,False
SERV,2026-06-16,clock,2026-06-17 10:01:00,9.0,8.5,0.01,0.07,0.0752,6.7,34.32835820895521,False
SERV,2026-06-16,hiro,2026-06-17 10:01:00-04:00,9.0,8.5,0.01,0.07,0.0752,6.7,34.32835820895521,False
VRT,2026-06-16,clock,2026-06-17 10:01:00,355.0,352.5,0.5700000000000001,1.98,0.091,308.14,15.207373271889413,False
VRT,2026-06-16,hiro,2026-06-17 11:11:00-04:00,355.0,352.5,0.5700000000000001,2.24,0.10250000000000001,312.92,13.447526524351261,False
WDC,2026-06-16,clock,2026-06-17 10:01:00,870.0,860.0,5.4,8.950000000000001,0.1269,702.47,23.84870528278786,False
WDC,2026-06-16,hiro,2026-06-17 10:01:00-04:00,870.0,860.0,5.4,8.950000000000001,0.1269,702.47,23.84870528278786,False
ZS,2026-06-16,clock,2026-06-17 10:01:00,146.0,145.0,0.1,0.75,0.08020000000000001,127.26,14.725758290114733,False
ZS,2026-06-16,hiro,2026-06-17 13:06:00-04:00,146.0,145.0,0.11,0.61,0.07010000000000001,126.09,15.790308509794592,False
