ticker,tradeDate,expiry,status,spot,risk_free_rate,dividend_yield,residual_yield,calendar_time_years,carry_forward,parity_forward_median,parity_points,parity_deviation_spot_fraction
DIS,2026-02-10,2026-02-20,model_carry_parity_consistent,110.21,0.0372,0.0,-0.00863887,0.0273972602739726,110.3484952172721,110.34117323106929,4.0,6.643667727802472e-05
DIS,2026-02-10,2026-02-27,model_carry_parity_consistent,110.21,0.0372,0.0,-0.01462408,0.04657534246575343,110.4763378560001,110.46527469325905,4.0,0.00010038256729019762
DIS,2026-02-10,2026-03-06,model_carry_parity_consistent,110.21,0.0372,0.0,-0.00664199,0.06575342465753424,110.52816746834351,110.49707969720856,5.0,0.00028207758946510383
DIS,2026-02-10,2026-03-13,model_carry_parity_consistent,110.21,0.0369,0.0,-0.01170598,0.08493150684931507,110.66590700661241,110.62293951094497,6.0,0.00038986930103838497
DIS,2026-02-10,2026-03-20,missing_parity_support,110.21,0.0369,0.0,-0.01136627,0.10410958904109589,110.7651969739134,,,
DIS,2026-02-10,2026-03-27,missing_parity_support,110.21,0.0369,0.0,-0.00932492,0.1232876712328767,110.83987579813012,,,
DIS,2026-02-10,2026-04-17,missing_parity_support,110.21,0.0369,0.0,-0.00681665,0.18082191780821918,111.08465465587967,,,
DIS,2026-02-10,2026-05-15,missing_parity_support,110.21,0.0359,0.0,-0.01168483,0.25753424657534246,111.5689025404908,,,
DIS,2026-02-10,2026-06-18,missing_parity_support,110.21,0.0359,0.0,-0.00790442,0.3506849315068493,111.91606679444973,,,
DIS,2026-02-10,2026-07-17,missing_parity_support,110.21,0.0359,0.01566046,-0.01151733,0.4301369863013699,111.72577607137052,,,
DIS,2026-02-10,2026-09-18,missing_parity_support,110.21,0.0343,0.01118211,-0.00565713,0.6027397260273972,112.13813778264297,,,
DIS,2026-02-10,2026-11-20,missing_parity_support,110.21,0.0343,0.00869124,-0.00551772,0.7753424657534247,112.90212788036445,,,
DIS,2026-02-10,2026-12-18,missing_parity_support,110.21,0.0343,0.01574605,-0.01225168,0.852054794520548,113.14110103045414,,,
DIS,2026-02-10,2027-01-15,missing_parity_support,110.21,0.0343,0.01444552,-0.0093511,0.9287671232876712,113.24038037156795,,,
DIS,2026-02-10,2027-06-17,missing_parity_support,110.21,0.0348,0.00995119,-0.00479833,1.347945205479452,114.70347922347072,,,
DIS,2026-02-10,2027-12-17,missing_parity_support,110.21,0.0348,0.01435099,-0.00689449,1.8493150684931507,115.92626973362573,,,
DIS,2026-02-10,2028-01-21,missing_parity_support,110.21,0.0348,0.01364355,-0.00850899,1.9452054794520548,116.75678530937701,,,
MRVL,2026-02-10,2026-02-13,model_carry_parity_consistent,82.06,0.0372,0.0,0.15530561,0.00821917808219178,81.98038046159863,81.98981507008833,4.0,0.00011497207518521019
MRVL,2026-02-10,2026-02-20,model_carry_parity_consistent,82.06,0.0372,0.0,0.04808595,0.0273972602739726,82.03552964770236,82.03395995878836,6.0,1.912855123084461e-05
MRVL,2026-02-10,2026-02-27,model_carry_parity_consistent,82.06,0.0372,0.0,0.02520812,0.04657534246575343,82.10584543855637,82.08853068651224,8.0,0.00021100112166864515
MRVL,2026-02-10,2026-03-06,model_carry_parity_consistent,82.06,0.0372,0.0,-0.0134198,0.06575342465753424,82.33358562443124,82.28492184305964,11.0,0.0005930268263660924
MRVL,2026-02-10,2026-03-13,model_carry_parity_consistent,82.06,0.0369,0.0,-0.01951846,0.08493150684931507,82.45415087084477,82.39222709313202,13.0,0.0007546158629386971
MRVL,2026-02-10,2026-03-20,missing_parity_support,82.06,0.0369,0.0,0.00397123,0.10410958904109589,82.34180090950292,,,
MRVL,2026-02-10,2026-03-27,missing_parity_support,82.06,0.0369,0.0,-0.0219623,0.1232876712328767,82.65767512272778,,,
MRVL,2026-02-10,2026-04-17,missing_parity_support,82.06,0.0369,0.00402176,-0.00081118,0.18082191780821918,82.56141763466015,,,
MRVL,2026-02-10,2026-05-15,missing_parity_support,82.06,0.0359,0.00282386,-0.00126171,0.25753424657534246,82.78888881598041,,,
MRVL,2026-02-10,2026-06-18,missing_parity_support,82.06,0.0359,0.00207359,-0.00358659,0.3506849315068493,83.14373544206501,,,
MRVL,2026-02-10,2026-07-17,missing_parity_support,82.06,0.0359,0.00336713,-0.0032627,0.4301369863013699,83.33325470192402,,,
MRVL,2026-02-10,2026-08-21,missing_parity_support,82.06,0.0343,0.00275452,-0.00952567,0.5260273972602739,83.85215907153636,,,
MRVL,2026-02-10,2026-09-18,missing_parity_support,82.06,0.0343,0.0024039,-0.01011925,0.6027397260273972,84.16465068996287,,,
MRVL,2026-02-10,2026-11-20,missing_parity_support,82.06,0.0343,0.00279171,-0.00591904,0.7753424657534247,84.47618711375985,,,
MRVL,2026-02-10,2026-12-18,missing_parity_support,82.06,0.0343,0.00254037,-0.00416773,0.852054794520548,84.61087177686548,,,
MRVL,2026-02-10,2027-01-15,missing_parity_support,82.06,0.0343,0.00309531,-0.00725863,0.9287671232876712,85.04445791779452,,,
MRVL,2026-02-10,2027-06-17,missing_parity_support,82.06,0.0348,0.00265488,-0.0071386,1.347945205479452,86.52236963845287,,,
MRVL,2026-02-10,2027-12-17,missing_parity_support,82.06,0.0348,0.00268755,-0.00613028,1.8493150684931507,88.07366299959355,,,
MRVL,2026-02-10,2028-01-21,missing_parity_support,82.06,0.0348,0.00290856,-0.00748758,1.9452054794520548,88.59283386840629,,,
ORCL,2026-02-10,2026-02-13,model_carry_parity_consistent,160.2,0.0372,0.0,-0.13409869,0.00821917808219178,160.42570995214697,160.41162771224452,3.0,8.790411924126128e-05
ORCL,2026-02-10,2026-02-20,model_carry_parity_consistent,160.2,0.0372,0.0,-0.04028111,0.0273972602739726,160.54042897434002,160.5382147369894,4.0,1.382170630845326e-05
ORCL,2026-02-10,2026-02-27,model_carry_parity_consistent,160.2,0.0372,0.0,-0.01919412,0.04657534246575343,160.62133047333208,160.61036746789316,5.0,6.843324244022631e-05
ORCL,2026-02-10,2026-03-06,model_carry_parity_consistent,160.2,0.0372,0.0,-0.02069882,0.06575342465753424,160.81105113268646,160.77579288400943,4.0,0.00022008894305258766
ORCL,2026-02-10,2026-03-13,model_carry_parity_consistent,160.2,0.0369,0.0,-0.01968813,0.08493150684931507,160.97179282411255,160.89016854529694,5.0,0.000509514849036269
ORCL,2026-02-10,2026-03-20,missing_parity_support,160.2,0.0369,0.0,-0.01501778,0.10410958904109589,161.06824761164668,,,
ORCL,2026-02-10,2026-03-27,missing_parity_support,160.2,0.0369,0.0,-0.01195156,0.1232876712328767,161.16776316418913,,,
ORCL,2026-02-10,2026-04-17,missing_parity_support,160.2,0.0369,0.01719302,-0.00999567,0.18082191780821918,161.06273134368305,,,
ORCL,2026-02-10,2026-05-15,missing_parity_support,160.2,0.0359,0.01207191,-0.0061867,0.25753424657534246,161.4431181400238,,,
ORCL,2026-02-10,2026-06-18,missing_parity_support,160.2,0.0359,0.00886451,-0.00784731,0.3506849315068493,162.17174159056339,,,
ORCL,2026-02-10,2026-07-17,missing_parity_support,160.2,0.0359,0.0144114,-0.01091961,0.4301369863013699,162.44882099090879,,,
ORCL,2026-02-10,2026-08-21,missing_parity_support,160.2,0.0343,0.01178929,-0.0113165,0.5260273972602739,163.0761180761978,,,
ORCL,2026-02-10,2026-09-18,missing_parity_support,160.2,0.0343,0.01028861,-0.01188514,0.6027397260273972,163.7038985479586,,,
ORCL,2026-02-10,2026-11-20,missing_parity_support,160.2,0.0343,0.01196253,-0.00861715,0.7753424657534247,164.09137971463392,,,
ORCL,2026-02-10,2026-12-18,missing_parity_support,160.2,0.0343,0.01088555,-0.00881737,0.852054794520548,164.6605877600403,,,
ORCL,2026-02-10,2027-01-15,missing_parity_support,160.2,0.0343,0.01327901,-0.01047217,0.9287671232876712,164.95502256909344,,,
ORCL,2026-02-10,2027-03-19,missing_parity_support,160.2,0.0348,0.01119618,-0.0080429,1.1013698630136985,165.88218016310918,,,
ORCL,2026-02-10,2027-06-17,missing_parity_support,160.2,0.0348,0.01140241,-0.00759904,1.347945205479452,167.0352375461039,,,
ORCL,2026-02-10,2027-09-17,missing_parity_support,160.2,0.0348,0.01149463,-0.00822737,1.6,168.4898345065015,,,
ORCL,2026-02-10,2027-10-15,missing_parity_support,160.2,0.0348,0.01276069,-0.00895813,1.6767123287671233,168.7463710179316,,,
ORCL,2026-02-10,2027-12-17,missing_parity_support,160.2,0.0348,0.01156893,-0.00797961,1.8493150684931507,169.71853958639812,,,
ORCL,2026-02-10,2028-01-21,missing_parity_support,160.2,0.0348,0.01253443,-0.00921858,1.9452054794520548,170.31781227833417,,,
PLTR,2026-02-10,2026-02-13,model_carry_parity_consistent,139.62,0.0372,0.0,-0.04526865,0.00821917808219178,139.71466994073785,139.70596101012592,6.0,6.237595338727266e-05
PLTR,2026-02-10,2026-02-20,model_carry_parity_consistent,139.62,0.0372,0.0,-0.01071951,0.0273972602739726,139.80342235011375,139.79287784826502,9.0,7.552286097068723e-05
PLTR,2026-02-10,2026-02-27,model_carry_parity_consistent,139.62,0.0372,0.0,-0.00984979,0.04657534246575343,139.92629317142047,139.90476796484396,12.0,0.00015416993680355824
PLTR,2026-02-10,2026-03-06,model_carry_parity_consistent,139.62,0.0372,0.0,-0.00973448,0.06575342465753424,140.0515472292203,140.02682948125369,3.0,0.00017703586854752167
PLTR,2026-02-10,2026-03-13,model_carry_parity_consistent,139.62,0.0369,0.0,-0.00840162,0.08493150684931507,140.15822757636792,140.1200875753474,3.0,0.00027317004025575423
PLTR,2026-02-10,2026-03-20,missing_parity_support,139.62,0.0369,0.0,-0.00805234,0.10410958904109589,140.2749487363781,,,
PLTR,2026-02-10,2026-03-27,missing_parity_support,139.62,0.0369,0.0,0.00219391,0.1232876712328767,140.21869060050324,,,
PLTR,2026-02-10,2026-04-17,missing_parity_support,139.62,0.0369,0.0,-0.00643185,0.18082191780821918,140.71826835707196,,,
PLTR,2026-02-10,2026-05-15,missing_parity_support,139.62,0.0359,0.0,-0.00817379,0.25753424657534246,141.21378628094772,,,
PLTR,2026-02-10,2026-06-18,missing_parity_support,139.62,0.0359,0.0,-0.00711725,0.3506849315068493,141.74220471623002,,,
PLTR,2026-02-10,2026-07-17,missing_parity_support,139.62,0.0359,0.0,-0.00637518,0.4301369863013699,142.18209070992071,,,
PLTR,2026-02-10,2026-08-21,missing_parity_support,139.62,0.0343,0.0,-0.00903572,0.5260273972602739,142.83930005943347,,,
PLTR,2026-02-10,2026-09-18,missing_parity_support,139.62,0.0343,0.0,-0.00829496,0.6027397260273972,143.2509691565629,,,
PLTR,2026-02-10,2026-11-20,missing_parity_support,139.62,0.0343,0.0,-0.00822906,0.7753424657534247,144.3006590209044,,,
PLTR,2026-02-10,2026-12-18,missing_parity_support,139.62,0.0343,0.0,-0.00759948,0.852054794520548,144.69456889258552,,,
PLTR,2026-02-10,2027-01-15,missing_parity_support,139.62,0.0343,0.0,-0.00749524,0.9287671232876712,145.1463423957809,,,
PLTR,2026-02-10,2027-06-17,missing_parity_support,139.62,0.0348,0.0,-0.00684472,1.347945205479452,147.68169485115956,,,
PLTR,2026-02-10,2027-12-17,missing_parity_support,139.62,0.0348,0.0,-0.00635091,1.8493150684931507,150.65997018286913,,,
PLTR,2026-02-10,2028-01-21,missing_parity_support,139.62,0.0348,0.0,-0.00589771,1.9452054794520548,151.12236230244955,,,
PLTR,2026-02-10,2028-12-15,missing_parity_support,139.62,0.0356,0.0,-0.00393107,2.8465753424657536,156.24926985311726,,,
QCOM,2026-02-10,2026-02-13,model_carry_parity_consistent,140.14,0.0372,0.0,0.01445561,0.00821917808219178,140.16620024733948,140.15938759765368,3.0,4.8613170299689834e-05
QCOM,2026-02-10,2026-02-20,model_carry_parity_consistent,140.14,0.0372,0.0,0.00297284,0.0273972602739726,140.2714751742921,140.27054603868498,6.0,6.630052855166576e-06
QCOM,2026-02-10,2026-02-27,model_carry_parity_consistent,140.14,0.0372,0.0,0.00178589,0.04657534246575343,140.37134105892733,140.36003281371293,8.0,8.069248761520066e-05
QCOM,2026-02-10,2026-03-06,missing_parity_support,140.14,0.0372,0.09662614,-0.0289564,0.06575342465753424,139.85951201717737,,,
QCOM,2026-02-10,2026-03-13,model_carry_parity_consistent,140.14,0.0369,0.07491626,-0.00073706,0.08493150684931507,139.69699341584595,139.65495573014368,2.0,0.00029996921437326136
QCOM,2026-02-10,2026-03-20,missing_parity_support,140.14,0.0369,0.06110428,-0.00564853,0.10410958904109589,139.8695344636666,,,
QCOM,2026-02-10,2026-03-27,missing_parity_support,140.14,0.0369,0.05159242,-0.00172808,0.1232876712328767,139.91618708424946,,,
QCOM,2026-02-10,2026-04-17,missing_parity_support,140.14,0.0369,0.0351687,-0.00203858,0.18082191780821918,140.23556277294972,,,
QCOM,2026-02-10,2026-05-15,missing_parity_support,140.14,0.0359,0.02469092,-0.00543296,0.25753424657534246,140.74191430739074,,,
QCOM,2026-02-10,2026-06-18,missing_parity_support,140.14,0.0359,0.03621447,-0.00864851,0.3506849315068493,140.55017538351856,,,
QCOM,2026-02-10,2026-07-17,missing_parity_support,140.14,0.0359,0.02952381,-0.00266834,0.4301369863013699,140.68626071067635,,,
QCOM,2026-02-10,2026-09-18,missing_parity_support,140.14,0.0343,0.03157671,-0.00798623,0.6027397260273972,141.0475370973896,,,
QCOM,2026-02-10,2026-12-18,missing_parity_support,140.14,0.0343,0.0297447,-0.00700709,0.852054794520548,141.52745305360273,,,
QCOM,2026-02-10,2027-01-15,missing_parity_support,140.14,0.0343,0.02728798,-0.00521575,0.9287671232876712,141.74060669490427,,,
QCOM,2026-02-10,2027-06-17,missing_parity_support,140.14,0.0348,0.02813229,-0.00605106,1.347945205479452,142.56330233529386,,,
