date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-06,PUT,long_first,0.25,225.0,200.0,0,[],0.0,,0,1,-5.75,6.1,0.35,220.97,217.34,223.5,218.96
2026-08-06,PUT,ladder3,0.05,225.0,200.0,0,[],0.0,,0,3,-28.85,30.85,2.0,220.97,217.34,223.5,218.96
2026-08-06,PUT,ladder3,0.1,225.0,200.0,0,[],0.0,,0,3,-28.85,30.85,2.0,220.97,217.34,223.5,218.96
2026-08-06,PUT,ladder3,0.25,225.0,200.0,0,[],0.0,,0,3,-28.85,30.85,2.0,220.97,217.34,223.5,218.96
2026-08-06,PUT,short3,0.05,225.0,200.0,0,[],0.0,,3,0,22.75,-25.1,-2.35,220.97,217.34,223.5,218.96
2026-08-06,PUT,short3,0.1,225.0,200.0,0,[],0.0,,3,0,22.75,-25.1,-2.35,220.97,217.34,223.5,218.96
2026-08-06,PUT,short3,0.25,225.0,200.0,0,[],0.0,,3,0,22.75,-25.1,-2.35,220.97,217.34,223.5,218.96
2026-08-06,CALL,anchor,0.05,225.0,255.0,1,[0.05],0.05,-1.9,0,0,-1.85,0.69,-1.16,220.97,217.34,223.5,218.96
2026-08-06,CALL,anchor,0.1,225.0,255.0,1,[0.1],0.1,-1.9,0,0,-1.8,0.69,-1.11,220.97,217.34,223.5,218.96
2026-08-06,CALL,anchor,0.25,225.0,255.0,1,[0.25],0.25,-1.9,0,0,-1.65,0.69,-0.96,220.97,217.34,223.5,218.96
2026-08-06,CALL,long_first,0.05,225.0,255.0,0,[],0.0,,0,1,-4.0,3.0,-1.0,220.97,217.34,223.5,218.96
2026-08-06,CALL,long_first,0.1,225.0,255.0,0,[],0.0,,0,1,-4.0,3.0,-1.0,220.97,217.34,223.5,218.96
2026-08-06,CALL,long_first,0.25,225.0,255.0,0,[],0.0,,0,1,-4.0,3.0,-1.0,220.97,217.34,223.5,218.96
2026-08-06,CALL,ladder3,0.05,225.0,255.0,0,[],0.0,,0,3,-20.1,16.0,-4.1,220.97,217.34,223.5,218.96
2026-08-06,CALL,ladder3,0.1,225.0,255.0,0,[],0.0,,0,3,-20.1,16.0,-4.1,220.97,217.34,223.5,218.96
2026-08-06,CALL,ladder3,0.25,225.0,255.0,0,[],0.0,,0,3,-20.1,16.0,-4.1,220.97,217.34,223.5,218.96
2026-08-06,CALL,short3,0.05,225.0,255.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,3.5,3.65,220.97,217.34,223.5,218.96
2026-08-06,CALL,short3,0.1,225.0,255.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,3.5,3.8,220.97,217.34,223.5,218.96
2026-08-06,CALL,short3,0.25,225.0,255.0,3,"[0.25, 0.25, 0.25]",0.75,,0,0,0.75,3.5,4.25,220.97,217.34,223.5,218.96
2026-08-07,PUT,anchor,0.05,225.0,200.0,0,[],0.0,-1.3,1,0,2.6,-3.4,-0.8,221.17,220.75,224.68,223.9
2026-08-07,PUT,anchor,0.1,225.0,200.0,0,[],0.0,-1.3,1,0,2.6,-3.4,-0.8,221.17,220.75,224.68,223.9
2026-08-07,PUT,anchor,0.25,225.0,200.0,0,[],0.0,-1.3,1,0,2.6,-3.4,-0.8,221.17,220.75,224.68,223.9
2026-08-07,PUT,long_first,0.05,225.0,200.0,0,[],0.0,,0,1,-5.25,4.4,-0.85,221.17,220.75,224.68,223.9
2026-08-07,PUT,long_first,0.1,225.0,200.0,0,[],0.0,,0,1,-5.25,4.4,-0.85,221.17,220.75,224.68,223.9
2026-08-07,PUT,long_first,0.25,225.0,200.0,0,[],0.0,,0,1,-5.25,4.4,-0.85,221.17,220.75,224.68,223.9
2026-08-07,PUT,ladder3,0.05,225.0,200.0,0,[],0.0,,0,3,-26.9,23.65,-3.25,221.17,220.75,224.68,223.9
2026-08-07,PUT,ladder3,0.1,225.0,200.0,0,[],0.0,,0,3,-26.9,23.65,-3.25,221.17,220.75,224.68,223.9
2026-08-07,PUT,ladder3,0.25,225.0,200.0,0,[],0.0,,0,3,-26.9,23.65,-3.25,221.17,220.75,224.68,223.9
2026-08-07,PUT,short3,0.05,225.0,200.0,0,[],0.0,,3,0,21.0,-18.9,2.1,221.17,220.75,224.68,223.9
2026-08-07,PUT,short3,0.1,225.0,200.0,0,[],0.0,,3,0,21.0,-18.9,2.1,221.17,220.75,224.68,223.9
2026-08-07,PUT,short3,0.25,225.0,200.0,0,[],0.0,,3,0,21.0,-18.9,2.1,221.17,220.75,224.68,223.9
2026-08-07,CALL,anchor,0.05,225.0,255.0,0,[],0.0,-0.15,1,0,2.69,-2.71,-0.02,221.17,220.75,224.68,223.9
2026-08-07,CALL,anchor,0.1,225.0,255.0,0,[],0.0,-0.15,1,0,2.69,-2.71,-0.02,221.17,220.75,224.68,223.9
2026-08-07,CALL,anchor,0.25,225.0,255.0,0,[],0.0,-0.15,1,0,2.69,-2.71,-0.02,221.17,220.75,224.68,223.9
2026-08-07,CALL,long_first,0.05,225.0,255.0,0,[],0.0,,0,1,-3.75,3.45,-0.3,221.17,220.75,224.68,223.9
2026-08-07,CALL,long_first,0.1,225.0,255.0,0,[],0.0,,0,1,-3.75,3.45,-0.3,221.17,220.75,224.68,223.9
2026-08-07,CALL,long_first,0.25,225.0,255.0,0,[],0.0,,0,1,-3.75,3.45,-0.3,221.17,220.75,224.68,223.9
2026-08-07,CALL,ladder3,0.05,225.0,255.0,0,[],0.0,,0,3,-19.5,18.7,-0.8,221.17,220.75,224.68,223.9
2026-08-07,CALL,ladder3,0.1,225.0,255.0,0,[],0.0,,0,3,-19.5,18.7,-0.8,221.17,220.75,224.68,223.9
2026-08-07,CALL,ladder3,0.25,225.0,255.0,0,[],0.0,,0,3,-19.5,18.7,-0.8,221.17,220.75,224.68,223.9
2026-08-07,CALL,short3,0.05,225.0,255.0,0,[],0.0,,3,0,15.09,-14.86,0.23,221.17,220.75,224.68,223.9
2026-08-07,CALL,short3,0.1,225.0,255.0,0,[],0.0,,3,0,15.09,-14.86,0.23,221.17,220.75,224.68,223.9
2026-08-07,CALL,short3,0.25,225.0,255.0,0,[],0.0,,3,0,15.09,-14.86,0.23,221.17,220.75,224.68,223.9
2026-08-10,PUT,anchor,0.05,225.0,200.0,0,[],0.0,2.5,1,0,5.9,-4.45,1.45,223.48,216.81,223.75,217.55
2026-08-10,PUT,anchor,0.1,225.0,200.0,0,[],0.0,2.5,1,0,5.9,-4.45,1.45,223.48,216.81,223.75,217.55
2026-08-10,PUT,anchor,0.25,225.0,200.0,0,[],0.0,2.5,1,0,5.9,-4.45,1.45,223.48,216.81,223.75,217.55
2026-08-10,PUT,long_first,0.05,225.0,200.0,0,[],0.0,,0,1,-4.65,5.75,1.1,223.48,216.81,223.75,217.55
2026-08-10,PUT,long_first,0.1,225.0,200.0,0,[],0.0,,0,1,-4.65,5.75,1.1,223.48,216.81,223.75,217.55
2026-08-10,PUT,long_first,0.25,225.0,200.0,0,[],0.0,,0,1,-4.65,5.75,1.1,223.48,216.81,223.75,217.55
2026-08-10,PUT,ladder3,0.05,225.0,200.0,2,"[0.05, 0.05]",0.1,,0,1,-4.55,10.7,6.15,223.48,216.81,223.75,217.55
2026-08-10,PUT,ladder3,0.1,225.0,200.0,1,[0.1],0.1,,0,2,-12.4,18.2,5.8,223.48,216.81,223.75,217.55
2026-08-10,PUT,ladder3,0.25,225.0,200.0,0,[],0.0,,0,3,-24.9,30.25,5.35,223.48,216.81,223.75,217.55
2026-08-10,PUT,short3,0.05,225.0,200.0,0,[],0.0,,3,0,19.2,-24.3,-5.1,223.48,216.81,223.75,217.55
2026-08-10,PUT,short3,0.1,225.0,200.0,0,[],0.0,,3,0,19.2,-24.3,-5.1,223.48,216.81,223.75,217.55
2026-08-10,PUT,short3,0.25,225.0,200.0,0,[],0.0,,3,0,19.2,-24.3,-5.1,223.48,216.81,223.75,217.55
2026-08-10,CALL,anchor,0.05,225.0,250.0,1,[0.05],0.05,-2.65,0,0,-2.6,0.73,-1.87,223.48,216.81,223.75,217.55
2026-08-10,CALL,anchor,0.1,225.0,250.0,1,[0.1],0.1,-2.65,0,0,-2.55,0.73,-1.82,223.48,216.81,223.75,217.55
2026-08-10,CALL,anchor,0.25,225.0,250.0,1,[0.25],0.25,-2.65,0,0,-2.4,0.73,-1.67,223.48,216.81,223.75,217.55
2026-08-10,CALL,long_first,0.05,225.0,250.0,0,[],0.0,,0,1,-4.15,2.89,-1.26,223.48,216.81,223.75,217.55
2026-08-10,CALL,long_first,0.1,225.0,250.0,0,[],0.0,,0,1,-4.15,2.89,-1.26,223.48,216.81,223.75,217.55
2026-08-10,CALL,long_first,0.25,225.0,250.0,0,[],0.0,,0,1,-4.15,2.89,-1.26,223.48,216.81,223.75,217.55
2026-08-10,CALL,ladder3,0.05,225.0,250.0,0,[],0.0,,0,3,-22.0,16.19,-5.81,223.48,216.81,223.75,217.55
2026-08-10,CALL,ladder3,0.1,225.0,250.0,0,[],0.0,,0,3,-22.0,16.19,-5.81,223.48,216.81,223.75,217.55
2026-08-10,CALL,ladder3,0.25,225.0,250.0,0,[],0.0,,0,3,-22.0,16.19,-5.81,223.48,216.81,223.75,217.55
2026-08-10,CALL,short3,0.05,225.0,250.0,3,"[0.05, 0.05, 0.05]",0.15,,0,0,0.15,3.75,3.91,223.48,216.81,223.75,217.55
2026-08-10,CALL,short3,0.1,225.0,250.0,3,"[0.1, 0.1, 0.1]",0.3,,0,0,0.3,3.75,4.05,223.48,216.81,223.75,217.55
