date,right,variant,c,k50,k20,bombs,credits,total_credit,anchor_pnl,unpaired_short,unpaired_long,cash,book,day_pnl,u_open,u_lo,u_hi,u_last
2026-08-11,PUT,long_first,0.05,222.5,210.0,1,[0.05],0.05,,0,0,0.05,0.71,0.76,221.56,216.47,221.56,217.47
2026-08-11,PUT,long_first,0.1,222.5,210.0,1,[0.1],0.1,,0,0,0.1,0.71,0.81,221.56,216.47,221.56,217.47
2026-08-11,PUT,ladder3,0.05,222.5,210.0,1,[0.05],0.05,,0,2,-23.1,27.47,4.37,221.56,216.47,221.56,217.47
2026-08-11,PUT,ladder3,0.1,222.5,210.0,1,[0.1],0.1,,0,2,-23.05,27.47,4.42,221.56,216.47,221.56,217.47
2026-08-11,PUT,short3,0.05,222.5,210.0,0,[],0.0,,3,0,17.05,-21.72,-4.67,221.56,216.47,221.56,217.47
2026-08-11,PUT,short3,0.1,222.5,210.0,0,[],0.0,,3,0,17.05,-21.72,-4.67,221.56,216.47,221.56,217.47
2026-08-11,CALL,anchor,0.05,222.5,232.5,1,[0.05],0.05,-1.76,0,0,-1.71,0.33,-1.38,221.56,216.47,221.56,217.47
2026-08-11,CALL,anchor,0.1,222.5,232.5,1,[0.1],0.1,-1.76,0,0,-1.66,0.33,-1.33,221.56,216.47,221.56,217.47
2026-08-11,CALL,long_first,0.05,222.5,232.5,0,[],0.0,,0,1,-2.08,1.1,-0.98,221.56,216.47,221.56,217.47
2026-08-11,CALL,long_first,0.1,222.5,232.5,0,[],0.0,,0,1,-2.08,1.1,-0.98,221.56,216.47,221.56,217.47
2026-08-11,CALL,ladder3,0.05,222.5,232.5,0,[],0.0,,0,3,-24.48,17.9,-6.58,221.56,216.47,221.56,217.47
2026-08-11,CALL,ladder3,0.1,222.5,232.5,0,[],0.0,,0,3,-24.48,17.9,-6.58,221.56,216.47,221.56,217.47
2026-08-11,CALL,short3,0.05,222.5,232.5,1,[0.05],0.05,,2,0,15.3,-10.87,4.43,221.56,216.47,221.56,217.47
2026-08-11,CALL,short3,0.1,222.5,232.5,1,[0.1],0.1,,2,0,15.35,-10.87,4.48,221.56,216.47,221.56,217.47
2026-08-12,PUT,anchor,0.05,222.5,212.5,1,[0.05],0.05,-1.4,0,0,-1.35,0.43,-0.93,221.59,220.63,224.96,224.12
2026-08-12,PUT,anchor,0.1,222.5,212.5,1,[0.1],0.1,-1.4,0,0,-1.3,0.43,-0.87,221.59,220.63,224.96,224.12
2026-08-12,PUT,long_first,0.05,222.5,212.5,0,[],0.0,,0,1,-2.25,1.5,-0.75,221.59,220.63,224.96,224.12
2026-08-12,PUT,long_first,0.1,222.5,212.5,0,[],0.0,,0,1,-2.25,1.5,-0.75,221.59,220.63,224.96,224.12
2026-08-12,PUT,ladder3,0.05,222.5,212.5,0,[],0.0,,0,3,-27.2,21.95,-5.25,221.59,220.63,224.96,224.12
2026-08-12,PUT,ladder3,0.1,222.5,212.5,0,[],0.0,,0,3,-27.2,21.95,-5.25,221.59,220.63,224.96,224.12
2026-08-12,PUT,short3,0.05,222.5,212.5,1,[0.05],0.05,,2,0,16.65,-13.88,2.77,221.59,220.63,224.96,224.12
2026-08-12,PUT,short3,0.1,222.5,212.5,1,[0.1],0.1,,2,0,16.7,-13.88,2.83,221.59,220.63,224.96,224.12
2026-08-12,CALL,anchor,0.05,222.5,232.5,0,[],0.0,1.05,1,0,2.4,-1.8,0.6,221.59,220.63,224.96,224.12
2026-08-12,CALL,anchor,0.1,222.5,232.5,0,[],0.0,1.05,1,0,2.4,-1.8,0.6,221.59,220.63,224.96,224.12
2026-08-12,CALL,long_first,0.05,222.5,232.5,1,[0.05],0.05,,0,1,-1.86,3.12,1.26,221.59,220.63,224.96,224.12
2026-08-12,CALL,long_first,0.1,222.5,232.5,1,[0.1],0.1,,0,1,-1.81,3.12,1.31,221.59,220.63,224.96,224.12
2026-08-12,CALL,ladder3,0.05,222.5,232.5,1,[0.05],0.05,,0,3,-24.81,28.92,4.11,221.59,220.63,224.96,224.12
2026-08-12,CALL,ladder3,0.1,222.5,232.5,1,[0.1],0.1,,0,3,-24.76,28.92,4.16,221.59,220.63,224.96,224.12
