tradeDate,ticker,scenario,buy_surface_tier,sell_archetype,ranking_score,stockPrice,return_5d_pct,drawdown_20d_pct,extension_50d_pct,relative_return_63d_pct,rs63_cross_section_pct,ivRank1y,iv30d,rr25,rr25_pct252,callskew,callskew_pct252,call_wing_30,call_wing_10,call_wing_10_pct252,call_kink,call_kink_pct252,put_wing_10_pct252,iv10d_pct252,avgOptVolu20d,oi,dollar_stock_volume,confidence_core,mktWidthVol,nextErn,wksNextErn,earnings_near_front_expiry,sector,sectorName,bestEtf,universe_size,liquid_universe_size,chain_confirmed,failure_reason,expiry,dte,leg1_action,leg1_strike,leg1_delta,leg1_bid,leg1_ask,leg1_oi,leg1_volume,leg2_action,leg2_strike,leg2_bid,leg2_ask,leg2_oi,leg2_volume,spread_width,entry_cash,target_leg2_price,contract_wing_iv_points,event_inside_expiry,lower_otm_pct,selection_distance
2026-08-11,VFC,buy-first puke,good,,65.8531746031746,14.72,-3.4754098360655683,-18.94273127753303,-10.772737191765891,-18.959664303933287,16.065573770491802,0.0,41.9059,3.626899999999999,65.87301587301587,-0.6199000000000012,14.682539682539682,2.4964999999999975,6.536499999999997,40.07936507936508,6.985599999999998,69.44444444444444,7.142857142857143,4.365079365079365,12597.45,591726,128216586.0,50.0241,10.06083,0000-00-00,10,False,Apparel & Textile Manufacturing,C. Cyclical,XLY,305,266,False,one leg lacks a bid; combined leg quote widths exceed 0.20,2026-09-18,39.0,BTO,18.0,0.09775643138079466,0.1,0.2,606.0,1.0,STO,21.0,0.0,0.13,373.0,0.0,3.0,0.2,,,False,22.282608695652172,5.217391304347828
2026-08-12,M,buy-first puke,,,58.96825396825397,23.78,-7.470817120622564,-9.236641221374043,-1.04036620890553,26.16038367285252,85.57377049180329,61.59,54.3967,5.645000000000003,90.47619047619048,-2.4694000000000003,1.5873015873015872,-3.00119999999999,3.754400000000004,34.523809523809526,0.6059999999999945,48.80952380952381,7.5396825396825395,69.44444444444444,6973.3,163557,114283134.76,74.8069,10.18988,0000-00-00,3,False,Department Store Retail,C. Cyclical,XLY,305,260,False,one leg lacks a bid; earnings inside expiry,2026-09-18,38.0,BTO,31.0,0.07346842223604931,0.1,0.15,48.0,1.0,STO,35.0,0.0,0.09,136.0,0.0,4.0,0.15,,,True,30.36164844407063,2.8616484440706316
2026-08-11,JBLU,buy-first puke,,,57.59920634920635,5.81,-10.061919504643967,-10.061919504643967,4.983556792309618,16.073001098940008,74.75409836065575,7.87,53.584,7.743700000000004,81.34920634920636,-1.3948999999999998,10.714285714285714,4.848700000000008,7.364899999999992,49.6031746031746,2.883599999999994,67.46031746031746,41.666666666666664,1.1904761904761905,24820.15,984656,218819033.64,56.2787,8.4819,0000-00-00,11,False,Airlines,Industrials,XLI,305,266,False,no roughly $5-wide spread 20-35% OTM in 30-90 DTE,,,,,,,,,,,,,,,,,,,,False,,
2026-08-17,JBLU,buy-first puke,,,56.56746031746032,5.29,-6.701940035273369,-18.11145510835913,-5.336244228910914,11.450805557177036,68.62745098039215,8.19,53.9697,6.367199999999997,72.22222222222223,-1.136099999999992,13.095238095238097,4.462400000000002,4.1451999999999956,29.365079365079364,-0.2614000000000018,48.80952380952381,48.80952380952381,2.7777777777777777,23887.95,974253,200328450.95,52.5777,7.68626,0000-00-00,10,False,Airlines,Industrials,XLI,306,268,False,no roughly $5-wide spread 20-35% OTM in 30-90 DTE,,,,,,,,,,,,,,,,,,,,False,,
2026-08-11,CIFR,buy-first puke,,,49.04761904761904,17.19,-16.228070175438592,-32.93015996878657,-24.17759820743314,-16.148604396099188,17.704918032786885,20.6,98.4328,7.657000000000011,92.06349206349206,-3.2218000000000018,3.1746031746031744,4.712199999999996,9.694000000000004,42.46031746031746,9.170000000000016,70.23809523809524,10.714285714285714,12.698412698412698,112269.8,1469016,513000875.2399999,82.021,11.25158,0000-00-00,11,False,Investment Banking & Brokerage,Financials,XLF,305,266,False,spread debit outside 0.05-0.50,2026-09-18,39.0,BTO,23.0,0.24419932426643828,0.69,0.78,6534.0,95.0,STO,28.0,0.25,0.3,6235.0,136.0,5.0,0.53,,,False,33.79872018615473,6.298720186154732
2026-08-12,VFC,buy-first puke,,,48.3531746031746,14.69,-3.6721311475409912,-19.10792951541851,-10.732732951714263,-19.242626015871465,14.754098360655735,0.0,40.6174,5.189399999999999,88.88888888888889,-0.8570999999999955,10.714285714285714,3.4000000000000057,2.016300000000001,10.317460317460318,0.1216000000000008,38.888888888888886,5.158730158730159,2.380952380952381,12389.2,593307,128083790.38,51.6878,11.17958,0000-00-00,10,False,Apparel & Textile Manufacturing,C. Cyclical,XLY,305,260,False,one leg lacks a bid,2026-09-18,38.0,BTO,18.0,0.08681013191700955,0.06,0.13,607.0,10.0,STO,21.0,0.0,0.07,373.0,0.0,3.0,0.13,,,False,22.532334921715446,4.967665078284554
2026-08-26,QS,buy-first puke,,,48.154761904761905,5.78,-0.857632933104624,-8.253968253968246,-7.499279838683859,-33.77161349465672,6.862745098039216,5.26,70.1049,-2.1170000000000044,90.07936507936508,4.973100000000002,17.063492063492063,16.5664,4.378400000000013,3.5714285714285716,-14.394999999999996,27.38095238095238,17.857142857142858,2.7777777777777777,19968.05,608105,112271926.38,53.136,9.3378,0000-00-00,8,False,Automotive Parts & Components,C. Cyclical,XLY,306,271,False,one leg lacks a bid; combined leg quote widths exceed 0.20; one leg has OI below 25,2026-09-25,31.0,BTO,7.5,0.1569912050823175,0.08,0.11,179.0,0.0,STO,10.0,0.0,0.75,0.0,0.0,2.5,0.11,,,False,29.757785467128016,2.2577854671280164
2026-08-21,RDW,buy-first puke,,,48.05555555555556,12.13,-11.459854014598523,-11.459854014598523,7.015562691886901,-18.681636985555627,14.426229508196723,21.28,88.14959999999999,-4.5959,85.31746031746032,2.8855000000000075,9.523809523809524,13.074400000000011,15.666999999999987,36.111111111111114,1.6429999999999865,46.03174603174603,65.47619047619048,21.428571428571427,28144.4,394125,208488130.4,85.9061,10.71156,0000-00-00,10,False,Aerospace & Defense Manufacturing,Industrials,XLI,305,270,False,combined leg quote widths exceed 0.20; one leg has OI below 25,2026-09-25,36.0,BTO,16.0,0.21102833297491272,0.3,0.45,147.0,26.0,STO,21.0,0.05,0.25,22.0,0.0,5.0,0.4,,,False,31.90436933223413,4.404369332234129
2026-08-25,BB,buy-first puke,,,47.34126984126984,7.78,-9.429569266589056,-13.938053097345126,-17.346591874893747,-5.418187075728709,26.229508196721312,22.16,70.86710000000001,-2.9058999999999884,78.17460317460318,2.808,9.523809523809524,16.746499999999997,10.6147,23.80952380952381,-20.619,2.380952380952381,19.84126984126984,30.952380952380953,23902.75,582193,85751053.2,74.1646,5.99167,0000-00-00,4,False,Infrastructure Software,Technology,XLK,305,271,False,one leg lacks a bid; combined leg quote widths exceed 0.20; one leg has OI below 25; earnings inside expiry,2026-09-25,32.0,BTO,10.5,0.13589268627160248,0.1,0.14,29.0,120.0,STO,14.0,0.0,0.75,12.0,0.0,3.5,0.14,,,True,34.96143958868893,7.461439588688933
2026-08-24,RDW,buy-first puke,,,47.32142857142857,11.45,-14.869888475836436,-16.423357664233574,2.0590070416258044,-32.19255350016115,5.901639344262295,21.07,88.4962,-5.3536,79.76190476190476,3.1766999999999967,13.095238095238097,15.865799999999991,10.78660000000002,18.650793650793652,-3.10299999999998,31.746031746031747,18.253968253968253,24.20634920634921,28078.45,259744,210820799.36,89.0169,10.44045,0000-00-00,10,False,Aerospace & Defense Manufacturing,Industrials,XLI,305,270,False,one leg lacks a bid,2026-09-25,33.0,BTO,15.0,0.19887229867178915,0.3,0.35,168.0,70.0,STO,20.0,0.0,0.15,63.0,1.0,5.0,0.35,,,False,31.00436681222709,3.50436681222709
