ticker,start_date,end_date,status,available_sessions,unavailable_sessions,row_count,error,captured_at_utc
EXPE,2026-08-27,2026-09-02,success,5,0,139873,,2026-09-03T11:48:26.581834+00:00
F,2026-08-27,2026-09-02,success,5,0,139828,,2026-09-03T11:48:52.036643+00:00
FANG,2026-08-29,2026-09-02,success,3,0,84160,,2026-09-03T11:49:10.662832+00:00
FDX,2026-08-29,2026-09-02,success,3,0,83870,,2026-09-03T11:49:28.489202+00:00
FHN,2026-08-29,2026-09-02,success,3,0,79410,,2026-09-03T11:49:44.439211+00:00
FSLR,2026-08-25,2026-09-02,success,4,3,112342,,2026-09-03T11:50:05.121772+00:00
GAP,2026-08-29,2026-09-02,success,3,0,84122,,2026-09-03T11:50:24.910311+00:00
GE,2026-08-29,2026-09-02,success,3,0,84256,,2026-09-03T11:50:44.405029+00:00
GILD,2026-08-29,2026-09-02,success,3,0,84053,,2026-09-03T11:51:05.692483+00:00
GM,2026-09-02,2026-09-02,success,1,0,28080,,2026-09-03T11:51:16.758441+00:00
GME,2026-08-29,2026-09-02,success,3,0,84284,,2026-09-03T11:51:32.996347+00:00
GOOG,2026-08-25,2026-09-02,success,4,3,112487,,2026-09-03T11:51:55.569195+00:00
GOOGL,2026-08-25,2026-09-02,success,4,3,112521,,2026-09-03T11:52:19.114245+00:00
GS,2026-08-29,2026-09-02,success,3,0,84222,,2026-09-03T11:52:39.936931+00:00
HIMS,2026-08-25,2026-09-02,success,4,3,112404,,2026-09-03T11:53:02.907462+00:00
HOOD,2026-08-29,2026-09-02,success,3,0,84410,,2026-09-03T11:53:22.551305+00:00
HUM,2026-08-29,2026-09-02,success,3,0,83504,,2026-09-03T11:53:39.435999+00:00
HUT,2026-08-29,2026-09-02,success,3,0,84263,,2026-09-03T11:53:55.480071+00:00
IBM,2026-08-28,2026-09-02,success,4,0,112366,,2026-09-03T11:54:17.892402+00:00
INOD,2026-08-27,2026-09-02,success,5,0,140276,,2026-09-03T11:54:44.314171+00:00
