ticker,signal_date,entry_date,reference_month,era,common_nonoverlap,outside_prior_six,horizon,economic,mechanical,paired_observed,difference,both_entered,both_complete_worst_cover_difference
CMG,2026-03-26,2026-03-27,2026-03,2026,False,True,4,0.0,,False,,False,
COST,2024-07-22,2024-07-23,2024-07,2024-2025,True,True,2,0.0,97.69999999999999,True,-97.69999999999999,False,
COST,2024-07-22,2024-07-23,2024-07,2024-2025,True,True,4,0.0,125.69999999999999,True,-125.69999999999999,False,
COST,2024-07-23,2024-07-24,2024-07,2024-2025,False,True,2,0.0,23.7,True,-23.7,False,
COST,2024-07-23,2024-07-24,2024-07,2024-2025,False,True,4,0.0,,False,,False,
COST,2024-07-24,2024-07-25,2024-07,2024-2025,False,True,2,0.0,7.699999999999998,True,-7.699999999999998,False,
COST,2024-07-24,2024-07-25,2024-07,2024-2025,False,True,4,0.0,,False,,False,
COST,2024-07-25,2024-07-26,2024-07,2024-2025,False,True,2,0.0,,False,,False,
COST,2024-07-25,2024-07-26,2024-07,2024-2025,False,True,4,0.0,,False,,False,
COST,2024-07-26,2024-07-29,2024-07,2024-2025,False,True,2,0.0,,False,,False,
COST,2024-07-26,2024-07-29,2024-07,2024-2025,False,True,4,0.0,,False,,False,
COST,2024-07-29,2024-07-30,2024-07,2024-2025,False,True,2,0.0,-46.300000000000004,True,46.300000000000004,False,
COST,2024-07-29,2024-07-30,2024-07,2024-2025,False,True,4,0.0,,False,,False,
COST,2024-07-30,2024-07-31,2024-07,2024-2025,True,True,2,0.0,12.699999999999989,True,-12.699999999999989,False,
COST,2024-07-30,2024-07-31,2024-07,2024-2025,True,True,4,0.0,,False,,False,
COST,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,2,0.0,,False,,False,
COST,2024-07-31,2024-08-01,2024-08,2024-2025,False,True,4,0.0,,False,,False,
COST,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,2,0.0,,False,,False,
COST,2024-08-01,2024-08-02,2024-08,2024-2025,False,True,4,0.0,,False,,False,
COST,2025-03-24,2025-03-25,2025-03,2024-2025,True,True,2,0.0,-144.30000000000004,True,144.30000000000004,False,
COST,2025-03-24,2025-03-25,2025-03,2024-2025,True,True,4,0.0,-176.3,True,176.3,False,
COST,2025-03-25,2025-03-26,2025-03,2024-2025,False,True,2,0.0,12.700000000000012,True,-12.700000000000012,False,
COST,2025-03-25,2025-03-26,2025-03,2024-2025,False,True,4,0.0,,False,,False,
COST,2025-03-26,2025-03-27,2025-03,2024-2025,False,True,2,0.0,-59.29999999999998,True,59.29999999999998,False,
COST,2025-03-26,2025-03-27,2025-03,2024-2025,False,True,4,0.0,,False,,False,
COST,2025-03-27,2025-03-28,2025-03,2024-2025,False,True,2,0.0,,False,,False,
COST,2025-03-27,2025-03-28,2025-03,2024-2025,False,True,4,0.0,,False,,False,
COST,2025-03-28,2025-03-31,2025-03,2024-2025,False,True,2,0.0,,False,,False,
COST,2025-03-28,2025-03-31,2025-03,2024-2025,False,True,4,0.0,,False,,False,
COST,2025-03-31,2025-04-01,2025-04,2024-2025,False,True,2,0.0,-434.29999999999995,True,434.29999999999995,False,
COST,2025-03-31,2025-04-01,2025-04,2024-2025,False,True,4,0.0,,False,,False,
COST,2025-04-01,2025-04-02,2025-04,2024-2025,True,True,2,0.0,-5.29999999999998,True,5.29999999999998,False,
COST,2025-04-01,2025-04-02,2025-04,2024-2025,True,True,4,0.0,,False,,False,
COST,2025-04-02,2025-04-03,2025-04,2024-2025,False,True,2,0.0,,False,,False,
COST,2025-04-02,2025-04-03,2025-04,2024-2025,False,True,4,0.0,,False,,False,
COST,2025-04-03,2025-04-04,2025-04,2024-2025,False,True,2,0.0,,False,,False,
COST,2025-04-03,2025-04-04,2025-04,2024-2025,False,True,4,0.0,,False,,False,
CRM,2025-12-12,2025-12-15,2025-12,2024-2025,True,False,2,0.0,0.0,True,0.0,False,
CRM,2025-12-12,2025-12-15,2025-12,2024-2025,True,False,4,0.0,0.0,True,0.0,False,
CRM,2025-12-15,2025-12-16,2025-12,2024-2025,False,False,2,0.0,-3.3000000000000007,True,3.3000000000000007,False,
CRM,2025-12-15,2025-12-16,2025-12,2024-2025,False,False,4,0.0,-6.300000000000003,True,6.300000000000003,False,
CRM,2025-12-16,2025-12-17,2025-12,2024-2025,False,False,2,0.0,50.699999999999996,True,-50.699999999999996,False,
CRM,2025-12-16,2025-12-17,2025-12,2024-2025,False,False,4,0.0,58.69999999999999,True,-58.69999999999999,False,
CRM,2025-12-17,2025-12-18,2025-12,2024-2025,False,False,2,0.0,-2.3,True,2.3,False,
CRM,2025-12-17,2025-12-18,2025-12,2024-2025,False,False,4,0.0,5.700000000000001,True,-5.700000000000001,False,
CRM,2025-12-18,2025-12-19,2025-12,2024-2025,False,False,2,0.0,-2.300000000000003,True,2.300000000000003,False,
CRM,2025-12-18,2025-12-19,2025-12,2024-2025,False,False,4,0.0,16.699999999999996,True,-16.699999999999996,False,
CRM,2025-12-19,2025-12-22,2025-12,2024-2025,False,False,2,0.0,-15.29999999999999,True,15.29999999999999,False,
CRM,2025-12-19,2025-12-22,2025-12,2024-2025,False,False,4,0.0,44.70000000000001,True,-44.70000000000001,False,
CRM,2025-12-22,2025-12-23,2025-12,2024-2025,True,False,2,0.0,-4.300000000000002,True,4.300000000000002,False,
CRM,2025-12-22,2025-12-23,2025-12,2024-2025,True,False,4,0.0,19.7,True,-19.7,False,
CRM,2025-12-23,2025-12-24,2025-12,2024-2025,False,False,2,0.0,19.7,True,-19.7,False,
CRM,2025-12-23,2025-12-24,2025-12,2024-2025,False,False,4,0.0,27.699999999999996,True,-27.699999999999996,False,
CRM,2025-12-24,2025-12-26,2025-12,2024-2025,False,False,2,0.0,9.7,True,-9.7,False,
CRM,2025-12-24,2025-12-26,2025-12,2024-2025,False,False,4,0.0,17.699999999999996,True,-17.699999999999996,False,
CRM,2025-12-26,2025-12-29,2025-12,2024-2025,False,False,2,0.0,5.699999999999997,True,-5.699999999999997,False,
CRM,2025-12-26,2025-12-29,2025-12,2024-2025,False,False,4,0.0,32.7,True,-32.7,False,
CRM,2025-12-29,2025-12-30,2025-12,2024-2025,False,False,2,0.0,-1.2999999999999992,True,1.2999999999999992,False,
CRM,2025-12-29,2025-12-30,2025-12,2024-2025,False,False,4,0.0,3.7,True,-3.7,False,
CRM,2025-12-30,2025-12-31,2025-12,2024-2025,False,False,2,0.0,18.699999999999996,True,-18.699999999999996,False,
CRM,2025-12-30,2025-12-31,2025-12,2024-2025,False,False,4,0.0,14.699999999999998,True,-14.699999999999998,False,
CRM,2025-12-31,2026-01-02,2026-01,2024-2025,True,False,2,0.0,-8.299999999999999,True,8.299999999999999,False,
CRM,2025-12-31,2026-01-02,2026-01,2024-2025,True,False,4,0.0,-3.3000000000000007,True,3.3000000000000007,False,
CRM,2026-01-02,2026-01-05,2026-01,2026,False,False,2,0.0,-159.29999999999998,True,159.29999999999998,False,
CRM,2026-01-02,2026-01-05,2026-01,2026,False,False,4,0.0,33.7,True,-33.7,False,
CRM,2026-01-05,2026-01-06,2026-01,2026,False,False,2,0.0,17.699999999999992,True,-17.699999999999992,False,
CRM,2026-01-05,2026-01-06,2026-01,2026,False,False,4,0.0,68.7,True,-68.7,False,
CRM,2026-01-06,2026-01-07,2026-01,2026,False,False,2,0.0,58.69999999999999,True,-58.69999999999999,False,
CRM,2026-01-06,2026-01-07,2026-01,2026,False,False,4,0.0,73.69999999999999,True,-73.69999999999999,False,
CRM,2026-01-07,2026-01-08,2026-01,2026,False,False,2,0.0,2.6999999999999984,True,-2.6999999999999984,False,
CRM,2026-01-07,2026-01-08,2026-01,2026,False,False,4,0.0,16.699999999999996,True,-16.699999999999996,False,
CRM,2026-01-08,2026-01-09,2026-01,2026,False,False,2,0.0,13.7,True,-13.7,False,
CRM,2026-01-08,2026-01-09,2026-01,2026,False,False,4,0.0,14.699999999999998,True,-14.699999999999998,False,
CRM,2026-01-09,2026-01-12,2026-01,2026,True,False,2,0.0,12.699999999999998,True,-12.699999999999998,False,
CRM,2026-01-09,2026-01-12,2026-01,2026,True,False,4,0.0,15.7,True,-15.7,False,
CRM,2026-01-12,2026-01-13,2026-01,2026,False,False,2,0.0,-14.3,True,14.3,False,
CRM,2026-01-12,2026-01-13,2026-01,2026,False,False,4,0.0,-21.3,True,21.3,False,
CRM,2026-01-13,2026-01-14,2026-01,2026,False,False,2,0.0,15.7,True,-15.7,False,
CRM,2026-01-13,2026-01-14,2026-01,2026,False,False,4,0.0,19.7,True,-19.7,False,
CRM,2026-01-14,2026-01-15,2026-01,2026,False,False,2,0.0,-5.3000000000000025,True,5.3000000000000025,False,
CRM,2026-01-14,2026-01-15,2026-01,2026,False,False,4,0.0,10.699999999999998,True,-10.699999999999998,False,
CRM,2026-01-15,2026-01-16,2026-01,2026,False,False,2,0.0,-1.3000000000000005,True,1.3000000000000005,False,
CRM,2026-01-15,2026-01-16,2026-01,2026,False,False,4,0.0,1.699999999999999,True,-1.699999999999999,False,
CRM,2026-01-16,2026-01-20,2026-01,2026,False,False,2,0.0,-17.3,True,17.3,False,
CRM,2026-01-16,2026-01-20,2026-01,2026,False,False,4,0.0,-16.3,True,16.3,False,
CRM,2026-01-20,2026-01-21,2026-01,2026,True,False,2,0.0,-41.3,True,41.3,False,
CRM,2026-01-20,2026-01-21,2026-01,2026,True,False,4,0.0,-23.300000000000004,True,23.300000000000004,False,
CRM,2026-01-21,2026-01-22,2026-01,2026,False,False,2,0.0,-26.30000000000001,True,26.30000000000001,False,
CRM,2026-01-21,2026-01-22,2026-01,2026,False,False,4,0.0,20.699999999999996,True,-20.699999999999996,False,
CRM,2026-01-22,2026-01-23,2026-01,2026,False,False,2,0.0,-0.3000000000000038,True,0.3000000000000038,False,
CRM,2026-01-22,2026-01-23,2026-01,2026,False,False,4,0.0,29.699999999999992,True,-29.699999999999992,False,
CRM,2026-02-26,2026-02-27,2026-02,2026,True,False,2,0.0,5.699999999999999,True,-5.699999999999999,False,
CRM,2026-02-26,2026-02-27,2026-02,2026,True,False,4,0.0,9.699999999999998,True,-9.699999999999998,False,
CRM,2026-02-27,2026-03-02,2026-03,2026,False,False,2,0.0,13.699999999999996,True,-13.699999999999996,False,
CRM,2026-02-27,2026-03-02,2026-03,2026,False,False,4,0.0,19.699999999999996,True,-19.699999999999996,False,
CRM,2026-03-02,2026-03-03,2026-03,2026,False,False,2,0.0,-62.29999999999998,True,62.29999999999998,False,
CRM,2026-03-02,2026-03-03,2026-03,2026,False,False,4,0.0,42.7,True,-42.7,False,
CRM,2026-03-03,2026-03-04,2026-03,2026,False,False,2,0.0,-53.3,True,53.3,False,
CRM,2026-03-03,2026-03-04,2026-03,2026,False,False,4,0.0,4.700000000000001,True,-4.700000000000001,False,
CRM,2026-03-04,2026-03-05,2026-03,2026,False,False,2,0.0,88.69999999999999,True,-88.69999999999999,False,
CRM,2026-03-04,2026-03-05,2026-03,2026,False,False,4,0.0,133.7,True,-133.7,False,
CRM,2026-03-05,2026-03-06,2026-03,2026,False,False,2,0.0,23.7,True,-23.7,False,
CRM,2026-03-05,2026-03-06,2026-03,2026,False,False,4,0.0,32.7,True,-32.7,False,
CRM,2026-03-06,2026-03-09,2026-03,2026,True,False,2,0.0,3.7,True,-3.7,False,
CRM,2026-03-06,2026-03-09,2026-03,2026,True,False,4,0.0,-124.30000000000001,True,124.30000000000001,False,
CRM,2026-03-09,2026-03-10,2026-03,2026,False,False,2,0.0,-19.300000000000004,True,19.300000000000004,False,
CRM,2026-03-09,2026-03-10,2026-03,2026,False,False,4,0.0,23.7,True,-23.7,False,
CRM,2026-03-10,2026-03-11,2026-03,2026,False,False,2,0.0,-0.30000000000000104,True,0.30000000000000104,False,
CRM,2026-03-10,2026-03-11,2026-03,2026,False,False,4,0.0,9.699999999999998,True,-9.699999999999998,False,
CRM,2026-03-11,2026-03-12,2026-03,2026,False,False,2,0.0,61.7,True,-61.7,False,
CRM,2026-03-11,2026-03-12,2026-03,2026,False,False,4,0.0,89.7,True,-89.7,False,
CRM,2026-03-12,2026-03-13,2026-03,2026,False,False,2,0.0,3.6999999999999984,True,-3.6999999999999984,False,
CRM,2026-03-12,2026-03-13,2026-03,2026,False,False,4,0.0,7.699999999999998,True,-7.699999999999998,False,
CRM,2026-03-13,2026-03-16,2026-03,2026,False,False,2,0.0,26.700000000000003,True,-26.700000000000003,False,
CRM,2026-03-13,2026-03-16,2026-03,2026,False,False,4,0.0,40.7,True,-40.7,False,
CRM,2026-03-16,2026-03-17,2026-03,2026,True,False,2,0.0,-3.3000000000000007,True,3.3000000000000007,False,
CRM,2026-03-16,2026-03-17,2026-03,2026,True,False,4,0.0,9.7,True,-9.7,False,
CRM,2026-03-17,2026-03-18,2026-03,2026,False,False,2,0.0,-13.300000000000004,True,13.300000000000004,False,
CRM,2026-03-17,2026-03-18,2026-03,2026,False,False,4,0.0,31.699999999999992,True,-31.699999999999992,False,
CRM,2026-03-18,2026-03-19,2026-03,2026,False,False,2,0.0,10.699999999999998,True,-10.699999999999998,False,
CRM,2026-03-18,2026-03-19,2026-03,2026,False,False,4,0.0,21.7,True,-21.7,False,
CRM,2026-03-19,2026-03-20,2026-03,2026,False,False,2,0.0,29.7,True,-29.7,False,
CRM,2026-03-19,2026-03-20,2026-03,2026,False,False,4,0.0,31.7,True,-31.7,False,
CRM,2026-03-20,2026-03-23,2026-03,2026,False,False,2,0.0,11.7,True,-11.7,False,
CRM,2026-03-20,2026-03-23,2026-03,2026,False,False,4,0.0,22.7,True,-22.7,False,
CRM,2026-03-23,2026-03-24,2026-03,2026,False,False,2,0.0,-22.300000000000004,True,22.300000000000004,False,
CRM,2026-03-23,2026-03-24,2026-03,2026,False,False,4,0.0,5.700000000000002,True,-5.700000000000002,False,
CRM,2026-03-24,2026-03-25,2026-03,2026,True,False,2,0.0,-22.3,True,22.3,False,
CRM,2026-03-24,2026-03-25,2026-03,2026,True,False,4,0.0,4.699999999999999,True,-4.699999999999999,False,
CRM,2026-03-25,2026-03-26,2026-03,2026,False,False,2,0.0,32.7,True,-32.7,False,
CRM,2026-03-25,2026-03-26,2026-03,2026,False,False,4,0.0,55.70000000000001,True,-55.70000000000001,False,
CRM,2026-03-26,2026-03-27,2026-03,2026,False,False,2,0.0,-6.3,True,6.3,False,
CRM,2026-03-26,2026-03-27,2026-03,2026,False,False,4,0.0,7.700000000000002,True,-7.700000000000002,False,
CRM,2026-03-27,2026-03-30,2026-03,2026,False,False,2,0.0,23.7,True,-23.7,False,
CRM,2026-03-27,2026-03-30,2026-03,2026,False,False,4,0.0,65.7,True,-65.7,False,
CRM,2026-03-30,2026-03-31,2026-03,2026,False,False,2,0.0,27.699999999999992,True,-27.699999999999992,False,
CRM,2026-03-30,2026-03-31,2026-03,2026,False,False,4,0.0,44.7,True,-44.7,False,
CRM,2026-03-31,2026-04-01,2026-04,2026,False,False,2,0.0,16.699999999999996,True,-16.699999999999996,False,
CRM,2026-03-31,2026-04-01,2026-04,2026,False,False,4,0.0,20.699999999999996,True,-20.699999999999996,False,
CRM,2026-04-01,2026-04-02,2026-04,2026,True,False,2,0.0,11.7,True,-11.7,False,
CRM,2026-04-01,2026-04-02,2026-04,2026,True,False,4,0.0,22.7,True,-22.7,False,
CRM,2026-04-02,2026-04-06,2026-04,2026,False,False,2,0.0,12.699999999999998,True,-12.699999999999998,False,
CRM,2026-04-02,2026-04-06,2026-04,2026,False,False,4,0.0,17.7,True,-17.7,False,
CRM,2026-04-06,2026-04-07,2026-04,2026,False,False,2,0.0,24.699999999999996,True,-24.699999999999996,False,
CRM,2026-04-06,2026-04-07,2026-04,2026,False,False,4,0.0,24.699999999999996,True,-24.699999999999996,False,
CRM,2026-04-07,2026-04-08,2026-04,2026,False,False,2,0.0,3.7,True,-3.7,False,
CRM,2026-04-07,2026-04-08,2026-04,2026,False,False,4,0.0,8.7,True,-8.7,False,
CRM,2026-04-08,2026-04-09,2026-04,2026,False,False,2,0.0,-1.2999999999999992,True,1.2999999999999992,False,
CRM,2026-04-08,2026-04-09,2026-04,2026,False,False,4,0.0,-8.299999999999999,True,8.299999999999999,False,
CRM,2026-04-09,2026-04-10,2026-04,2026,False,False,2,0.0,-1.300000000000002,True,1.300000000000002,False,
CRM,2026-04-09,2026-04-10,2026-04,2026,False,False,4,0.0,-35.300000000000004,True,35.300000000000004,False,
CRM,2026-04-10,2026-04-13,2026-04,2026,True,False,2,0.0,-101.3,True,101.3,False,
CRM,2026-04-10,2026-04-13,2026-04,2026,True,False,4,0.0,-88.30000000000001,True,88.30000000000001,False,
CRM,2026-04-13,2026-04-14,2026-04,2026,False,False,2,0.0,-92.3,True,92.3,False,
CRM,2026-04-13,2026-04-14,2026-04,2026,False,False,4,0.0,-131.3,True,131.3,False,
CRM,2026-04-14,2026-04-15,2026-04,2026,False,False,2,0.0,-10.300000000000008,True,10.300000000000008,False,
CRM,2026-04-14,2026-04-15,2026-04,2026,False,False,4,0.0,-160.3,True,160.3,False,
CRM,2026-04-15,2026-04-16,2026-04,2026,False,False,2,0.0,-20.300000000000008,True,20.300000000000008,False,
CRM,2026-04-15,2026-04-16,2026-04,2026,False,False,4,0.0,-43.300000000000004,True,43.300000000000004,False,
CRM,2026-04-16,2026-04-17,2026-04,2026,False,False,2,0.0,-52.3,True,52.3,False,
CRM,2026-04-16,2026-04-17,2026-04,2026,False,False,4,0.0,36.699999999999996,True,-36.699999999999996,False,
CRM,2026-04-17,2026-04-20,2026-04,2026,False,False,2,0.0,-32.300000000000004,True,32.300000000000004,False,
CRM,2026-04-17,2026-04-20,2026-04,2026,False,False,4,0.0,63.69999999999999,True,-63.69999999999999,False,
CRM,2026-04-20,2026-04-21,2026-04,2026,True,False,2,0.0,48.7,True,-48.7,False,
CRM,2026-04-20,2026-04-21,2026-04,2026,True,False,4,0.0,52.699999999999996,True,-52.699999999999996,False,
CRM,2026-04-21,2026-04-22,2026-04,2026,False,False,2,0.0,74.7,True,-74.7,False,
CRM,2026-04-21,2026-04-22,2026-04,2026,False,False,4,0.0,74.7,True,-74.7,False,
