ticker,date,selector,reason,strike,expiry,gross,maximum_gross,net,maximum_net,wing,shock,rally_loss,ratio,exceeds_bound
OKTA,2026-04-10,mechanical,selected,71.0,2026-04-17,0.0,33.0,-20.3,12.7,-8.799904879915077,0.0,6.737052407304802,-3.0131871882114596,False
OKTA,2026-04-13,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-13,mechanical,selected,74.0,2026-04-24,0.0,57.99999999999999,-30.299999999999997,27.7,-3.8768092843393664,0.0,7.727683348264749,-3.9209681135296335,False
OKTA,2026-04-14,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-14,mechanical,selected,73.0,2026-04-24,0.0,42.0,-24.3,17.7,-2.259616465478076,0.0,6.37276173742153,-3.813103486563421,False
OKTA,2026-04-15,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-15,mechanical,selected,76.0,2026-04-24,0.0,48.0,-32.3,15.7,-6.273708039725035,0.0,7.1345297134880985,-4.527278082385111,False
OKTA,2026-04-16,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-16,mechanical,selected,80.0,2026-04-24,0.0,54.0,-37.3,16.7,-5.316416923040923,0.0,8.27116466751196,-4.5096430187769645,False
OKTA,2026-04-17,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-17,mechanical,selected,81.0,2026-04-24,0.0,46.0,-48.3,-2.3,-24.70757323518172,0.0,7.892190247695479,-6.119974111635691,False
OKTA,2026-04-20,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-20,mechanical,selected,88.0,2026-05-01,0.0,44.0,-22.3,21.7,-2.295725933263293,0.0,7.726358674220153,-2.8862237620946085,False
OKTA,2026-04-21,economic,no_positive_net_scenario,,,,,,,,,,,
OKTA,2026-04-21,mechanical,selected,90.0,2026-05-01,0.0,48.0,-24.299999999999997,23.7,-1.411285272647278,0.0,8.51137426236309,-2.8550031112429743,False
ORCL,2025-12-11,economic,selected,260.0,2025-12-26,9.09571556205315,28.999999999999996,1.795715562053151,21.7,19.382761369073233,4.845690342268308,3.7300733522104252,0.48141561639505503,False
ORCL,2025-12-11,mechanical,selected,222.5,2025-12-19,8.617036204522883,93.0,-0.6829637954771215,83.7,6.743381458501441,1.6858453646253602,22.891231526742466,-0.02983517049658318,False
ORCL,2025-12-12,economic,selected,245.0,2026-01-02,8.181373511623532,30.0,3.881373511623531,25.699999999999996,12.41219334763879,3.1030483369096973,4.580698311395732,0.8473322728911352,False
ORCL,2025-12-12,mechanical,selected,210.0,2025-12-19,5.8089486924866875,53.0,0.508948692486686,47.7,5.150454130013715,1.2876135325034288,20.53761129143693,0.02478129930810843,False
ORCL,2025-12-15,economic,selected,225.0,2025-12-26,7.855949886935129,28.000000000000004,3.555949886935128,23.7,17.70683977462833,4.426709943657083,4.439404327093229,0.800997076394581,False
ORCL,2025-12-15,mechanical,selected,207.5,2025-12-26,6.88685991317143,71.0,-4.413140086828567,59.7,4.94960764342478,1.237401910856195,20.247028235701272,-0.21796483095958474,False
ORCL,2025-12-16,economic,selected,250.0,2026-01-16,9.656588472340115,53.0,3.3565884723401123,46.7,9.849238629732938,2.4623096574332344,6.203036825394188,0.5411201910971744,False
ORCL,2025-12-16,mechanical,selected,210.0,2025-12-26,4.388132728307821,61.0,-5.911867271692173,50.7,3.1825583011207135,0.7956395752801784,21.20315151780335,-0.2788202153216817,False
ORCL,2025-12-17,economic,selected,225.0,2026-01-02,5.579575570059566,24.0,0.279575570059567,18.7,12.771872149147868,3.192968037286967,3.4146863045010014,0.08187445203708756,False
ORCL,2025-12-17,mechanical,selected,197.5,2025-12-26,1.3831759194311255,57.99999999999999,-14.916824080568869,41.7,1.129324368582807,0.28233109214570173,18.226372844709683,-0.8184197814705941,False
ORCL,2025-12-18,economic,no_positive_net_scenario,,,,,,,,,,,
