ticker,session_date,captured,valid_rth_points,first,last,path,sha256
NBIS,2026-09-01,2026-09-03T12:05:30.651648+00:00,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=NBIS/date=2026-09-01/normalized/hiro_series.csv,9bb5eb9d674569aa291af4cdf75b6b01401a2854f4df563f156e7d4f69e9b9aa
NVDA,2026-08-27,2026-09-03T12:08:00.765269+00:00,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=NVDA/date=2026-08-27/normalized/hiro_series.csv,4e1a4ffc4b570555a2895908d103004bf78d42dd41bf4f98f34d96c25b030459
NVDA,2026-08-28,2026-09-03T12:08:00.765269+00:00,4681,2026-08-28 09:30:00-04:00,2026-08-28 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=NVDA/date=2026-08-28/normalized/hiro_series.csv,b179550953fee1193ac216df04d2242fb15690aa38d57a55ef2b3078701f0b73
NVDA,2026-08-31,2026-09-03T12:08:00.765269+00:00,4681,2026-08-31 09:30:00-04:00,2026-08-31 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=NVDA/date=2026-08-31/normalized/hiro_series.csv,917905994bba6df128cebc6e74b5dee08d74b04492af4f3f6e914cce03b3c5e9
NVDA,2026-09-01,2026-09-03T12:08:00.765269+00:00,4681,2026-09-01 09:30:00-04:00,2026-09-01 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_four_methods_2026-08-24_to_2026-09-02/hiro_ticker_followthrough_to_2026-09-02/ticker=NVDA/date=2026-09-01/normalized/hiro_series.csv,153e35506181b9895b261476f79afcee27ee3e98b995d01b32060145814a97d0
ON,2026-09-04,2026-09-04T22:20:58.821206+00:00,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=ON/date=2026-09-04/normalized/hiro_series.csv,810a343a1248f0e30cde68d3edeee5247bd80fdf7fdc5cc938ab40ab2929a020
STX,2026-08-24,2026-08-28T09:52:32.620642+00:00,4681,2026-08-24 09:30:00-04:00,2026-08-24 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=STX/date=2026-08-24/normalized/hiro_series.csv,e66d734f99c58c6cd9c3e09b4ec7baf9cf782d8e9a8234bd1637da1f5edef9f3
STX,2026-08-25,2026-08-28T09:52:32.620642+00:00,4681,2026-08-25 09:30:00-04:00,2026-08-25 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=STX/date=2026-08-25/normalized/hiro_series.csv,ec5f136fded28e05883df4a85f3ce741e8e1fdad1542576481cbba331cc804ce
STX,2026-08-26,2026-08-28T09:52:32.620642+00:00,4681,2026-08-26 09:30:00-04:00,2026-08-26 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=STX/date=2026-08-26/normalized/hiro_series.csv,d361d5bf2a1ca271610d93c37f570597948200f10609d13ceb7b5cb8158d20fb
STX,2026-08-27,2026-08-28T09:52:32.620642+00:00,4681,2026-08-27 09:30:00-04:00,2026-08-27 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_2026-08-11_to_2026-08-27/hiro_ticker_followthrough_to_2026-08-28/ticker=STX/date=2026-08-27/normalized/hiro_series.csv,885da467b3c0e643480472cb71267a05552e89c0a5d03451a349db3807368fa8
VST,2026-09-04,2026-09-04T22:26:16.538096+00:00,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=VST/date=2026-09-04/normalized/hiro_series.csv,3497b3232af6eaa94cbdae70d87ec46f9b6a73ef0d4081aa932fbc01d1d14832
W,2026-09-04,2026-09-04T22:26:25.628385+00:00,4681,2026-09-04 09:30:00-04:00,2026-09-04 16:00:00-04:00,/Users/dgrissen/Dev/delta_bomb-nvda_call_strat/docs/replay/hiro_daily_pandar_approved_2026-08-11_to_2026-09-04/hiro_ticker_followthrough_to_2026-09-04/ticker=W/date=2026-09-04/normalized/hiro_series.csv,9884eb637184c8ff05632cf4c2490af3b129fda1fe32bb9d19f36fa3e74857bd
